Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,IC50_nM,pIC50,Smiles
CHEMBL4443947,IC50,'=',0.022,nM,10.66,CHEMBL4361896,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4359855,0.022,10.66,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)CCOCCOCCOCC#Cc2cnc(OC[C@@H]3CCC(=O)N3)c3cc(OC)c(C(N)=O)cc23)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1
CHEMBL4556091,IC50,'=',0.026,nM,10.59,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.026,10.59,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCC(N4CCC4)CC3)cc2C1=O
CHEMBL4566431,IC50,'=',0.078,nM,10.11,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.078,10.11,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(C4COC4)CC3)cc2C1=O
CHEMBL4545898,IC50,'=',0.081,nM,10.09,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.081,10.09,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(CC(F)F)CC3)cc2C1=O
CHEMBL4448950,IC50,'=',0.099,nM,10,CHEMBL4361896,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4359855,0.099,10,COc1cc2c(OC[C@@H]3CCC(=O)N3)ncc(C#CCCCCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)c2cc1C(N)=O
CHEMBL4445098,IC50,'=',0.1,nM,10,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.1,10,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(C4CC(F)(F)C4)CC3)cc2C1=O
CHEMBL5190644,IC50,'=',0.1,nM,10,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.1,10,COc1cc2nn([C@H]3CC[C@@]4(CCC(=O)N4C)CC3)cc2cc1C(=O)Nc1cnc2cccnn12
CHEMBL4066705,IC50,'=',0.1,nM,10,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.1,10,CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@@H]1F
CHEMBL4568894,IC50,'=',0.11,nM,9.96,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.11,9.96,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCC(N4CC(F)(F)C4)CC3)cc2C1=O
CHEMBL4472406,IC50,'=',0.16,nM,9.8,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.16,9.8,CC(C)(O)CCN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O
CHEMBL4475494,IC50,'=',0.19,nM,9.72,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.19,9.72,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O
CHEMBL5176061,IC50,'=',0.2,nM,9.7,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.2,9.7,COc1cc2nn([C@H]3CC[C@@]4(CC3)CC(=O)N(C)C4)cc2cc1C(=O)Nc1cnc2cccnn12
CHEMBL3590479,IC50,'=',0.2,nM,9.7,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.2,9.7,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)F)n1
CHEMBL3634383,IC50,'=',0.2,nM,9.7,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.2,9.7,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)F)n1
CHEMBL3634510,IC50,'=',0.2,nM,9.7,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.2,9.7,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCCNC4)nc23)c(C(F)F)n1
CHEMBL4081711,IC50,'=',0.2,nM,9.7,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.2,9.7,CC[C@@H]1[C@H](F)C(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12
CHEMBL4520946,IC50,'=',0.2,nM,9.7,CHEMBL4331758,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4330088,0.2,9.7,CC[C@@H]1[C@H](F)C(=O)N[C@@H]1COc1cccc2cc(C(N)=O)c(OC)cc12
CHEMBL5202941,IC50,'=',0.2,nM,9.7,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.2,9.7,COc1cc2nn([C@H]3CC[C@H](N(C)C(C)=O)CC3)cc2cc1C(=O)Nc1cnc2cccnn12
CHEMBL5196239,IC50,'=',0.2,nM,9.7,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.2,9.7,COc1cc2nn([C@H]3CC[C@H](N(C)C(=O)[C@@H](C)O)CC3)cc2cc1C(=O)Nc1cnc2cccnn12
CHEMBL3353189,IC50,'=',0.24,nM,9.62,CHEMBL3380177,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3351266,0.24,9.62,Cl.Cn1cc(NC(=O)c2coc(-c3ccnc(NCC(F)(F)F)c3)n2)c(C(N)=O)n1
CHEMBL4524299,IC50,'=',0.29,nM,9.54,CHEMBL4361896,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4359855,0.29,9.54,COc1cc2c(OC[C@@H]3CCC(=O)N3)ncc(C#CCOCCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)c2cc1C(N)=O
CHEMBL3590474,IC50,'=',0.3,nM,9.52,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.3,9.52,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(N)=O)n1
CHEMBL5204583,IC50,'=',0.3,nM,9.52,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.3,9.52,COc1cc2nn([C@H]3CC[C@H](N(C)C(=O)N4CC[C@@H](O)C4)CC3)cc2cc1C(=O)Nc1cnc2cccnn12
CHEMBL4093120,IC50,'=',0.3,nM,9.52,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.3,9.52,COc1cc2c(OC[C@H]3NC(=O)[C@@H](F)[C@H]3C)nccc2cc1C(N)=O
CHEMBL3634613,IC50,'=',0.3,nM,9.52,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.3,9.52,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(Cl)n1
CHEMBL3590478,IC50,'=',0.3,nM,9.52,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.3,9.52,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1
CHEMBL3353199,IC50,'=',0.32,nM,9.49,CHEMBL3380186,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3351266,0.32,9.49,Cc1cc(Nc2ncc(-c3nc4ccccc4s3)c(NC3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1.Cl
CHEMBL4466981,IC50,'=',0.32,nM,9.49,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.32,9.49,COC(C)(C)CCN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O
CHEMBL3353188,IC50,'=',0.36,nM,9.44,CHEMBL3380177,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3351266,0.36,9.44,Cl.NC(=O)c1nn(-c2cccnc2)cc1NC(=O)c1coc(-c2ccnc(NCC(F)(F)F)c2)n1
CHEMBL4468790,IC50,'=',0.38,nM,9.42,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.38,9.42,CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O
CHEMBL3634509,IC50,'=',0.4,nM,9.4,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.4,9.4,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCNC4)nc23)c(C(F)F)n1
CHEMBL3634616,IC50,'=',0.4,nM,9.4,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.4,9.4,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C#N)n1
CHEMBL4452765,IC50,'=',0.47,nM,9.33,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.47,9.33,O=C(Nc1cc2c(cc1N1CCOCC1)C(=O)N(CC1CCOCC1)C2)c1cnn2cccnc12
CHEMBL3590515,IC50,'=',0.5,nM,9.3,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.5,9.3,Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)F)n1
